CNT,CNTSCHID,SC001Q01TA,SC013Q01TA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC162Q01SA,SC011Q01TA,SC167Q01HA,SC167Q02HA,SC167Q03HA,SC167Q04HA,SC167Q05HA,SC167Q06HA,SC002Q01TA,SC002Q02TA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC003Q01TA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q12IA,SC053Q13IA,SC053Q09TA,SC053Q10TA,SC053Q14IA,SC053Q15IA,SC053Q16IA,SC053D11TA,SC164Q01HA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,avg_cog,med_cog,avg_math,med_math,avg_read,med_read,avg_science,med_science
CZE,20300001,3,1,97,1,2,0,2,2,1,1,1,1,1,1,850,110,85,5,85,5,5,0,65,5,5,1,4,1,2,2,1,2,1,1,1,1,1,1,0203001,4,20,86,10,2,0,0,7.4411764705882355,5.5,52.85294117647059,47,11.941176470588236,12.5
CZE,20300002,3,1,100,0,0,0,2,1,NA,1,1,1,1,1,228,233,28,4,27,4,1,0,27,4,0,0,2,1,2,1,1,2,2,1,1,2,1,2,0203002,NA,23,58,8,9,0,0,7.76,2,51.12,43,13.6,9
CZE,20300003,3,1,100,0,0,0,1,1,1,1,1,1,1,1,235,443,47,15,47,15,0,0,43,15,4,0,4,1,1,1,1,2,1,1,1,1,1,1,0203002,0,82,9,3,0,0,0,9.517241379310343,7,66.06896551724138,55,21.275862068965516,19
CZE,20300004,3,1,100,0,0,0,1,1,1,1,1,1,1,1,195,209,43,3,39,NA,1,NA,39,NA,5,NA,3,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,0203001,NA,9,75,5,1,0,0,6.444444444444445,3.5,52.94444444444444,44.5,11.833333333333334,10.5
CZE,20300005,2,1,NA,NA,NA,NA,1,3,2,1,2,1,1,1,124,133,14,4,13,3,1,0,13,3,0,0,3,2,2,2,2,2,2,2,1,2,2,2,0203002,NA,1,1,4,NA,0,0,4.9375,1.5,48.6875,43.5,10.4375,7
CZE,20300006,1,1,100,NA,NA,NA,1,3,1,1,1,1,1,1,67,65,11,1,11,0,0,0,11,0,0,0,1,2,2,1,1,2,2,2,2,1,2,2,0203002,NA,10,20,5,10,0,0,11.625,2.5,49.625,40,6.25,6
CZE,20300007,3,1,100,0,0,0,1,1,2,1,2,1,1,1,245,394,52,2,52,2,52,2,52,2,3,0,4,1,1,1,1,2,2,1,1,1,1,1,0203001,1,66,94,1,1,0,0,7.357142857142857,8.5,42.285714285714285,43,10.357142857142858,5.5
CZE,20300008,2,1,89,11,0,0,1,1,1,1,1,1,1,1,33,188,20,11,NA,0,1,0,18,9,0,1,3,2,2,2,1,2,2,2,2,1,2,2,0203001,30,33,10,2,0,0,0,6.5588235294117645,5,47.26470588235294,43.5,8.735294117647058,7
CZE,20300009,2,1,NA,NA,NA,NA,1,1,2,1,1,1,1,1,428,53,40,5,40,5,40,5,20,3,3,1,4,2,2,2,1,2,1,2,1,1,1,2,0203002,1,2,23,NA,NA,0,0,5.217391304347826,3,40.95652173913044,41,9.608695652173912,7
CZE,20300010,2,1,95,0,5,NA,1,2,2,1,2,1,1,1,143,169,20,10,19,7,4,3,15,4,0,0,4,2,2,1,1,1,2,2,1,2,1,1,0203001,NA,22,70,7,3,0,0,9.1875,3.5,45.75,46.5,10.5,8.5
CZE,20300011,2,1,99,0,1,NA,1,1,1,1,1,1,1,1,57,107,13,8,13,8,0,0,13,8,1,3,3,1,1,2,1,2,2,2,2,1,1,1,0203002,1,25,50,100,NA,0,0,7.555555555555555,2,64.94444444444444,43.5,17.22222222222222,23
CZE,20300012,3,1,98,NA,1,1,1,1,1,1,1,1,1,1,169,208,29,7,27,7,0,0,28,7,5,1,5,1,1,2,1,2,1,2,2,1,1,1,0203001,NA,30,90,20,NA,0,0,7.344827586206897,8,57.793103448275865,48,12.20689655172414,10
CZE,20300013,4,2,70,30,0,0,NA,2,1,1,1,1,1,1,53,102,13,13,3,6,0,1,6,5,4,1,4,2,2,2,1,2,2,2,2,1,2,2,0203001,2,4,40,1,0,0,0,9.8,7.5,44.5,45.5,15.8,7
CZE,20300014,3,1,98,0,2,0,2,1,2,1,1,1,1,1,135,220,30,5,30,5,0,0,30,5,3,1,5,1,1,1,1,2,2,2,1,1,1,2,0203001,NA,100,100,20,5,0,0,7.78125,6,65.375,50.5,15.1875,12.5
CZE,20300015,4,1,100,0,0,0,1,1,2,2,2,1,1,1,422,12,51,2,51,2,2,0,35,2,3,0,3,2,2,2,2,2,2,2,2,2,2,2,0203002,4,24,27,2,0,0,0,4.6923076923076925,3,39,35,10.153846153846152,11
CZE,20300016,2,1,100,NA,NA,NA,1,1,1,1,1,1,1,1,81,122,14,12,NA,8,2,0,6,6,0,0,2,2,2,2,1,2,2,2,2,1,1,2,0203001,0,0,42,1,0,0,0,12.166666666666666,3,83.16666666666667,51,14,7.5
CZE,20300017,3,1,99,0,1,0,1,1,2,1,1,1,1,1,217,233,30,10,30,10,0,0,30,10,5,2,4,1,1,2,1,2,1,1,1,1,1,2,0203001,NA,85,5,3,5,0,0,9.06896551724138,6,77.96551724137932,54,15.655172413793103,8
CZE,20300018,3,1,100,NA,NA,NA,2,1,1,1,1,1,1,1,261,232,22,10,22,9,NA,NA,22,10,1,0,4,1,2,1,1,2,2,2,2,1,1,2,0203001,0,25,15,15,85,0,0,7.173913043478261,0,50.30434782608695,46,11.217391304347826,9
CZE,20300019,2,1,94,2,2,2,2,1,1,1,1,1,1,1,283,288,27,10,NA,8,0,2,27,7,0,0,4,1,2,1,1,2,2,1,1,1,1,1,0203001,1,14,55,4,18,0,0,6.310344827586207,5,47.44827586206897,50,9.344827586206897,8
