,CNT,CNTSCHID,bol_location,bol_extra_acts,bol_competition,bol_career_guidance,funding,students_male,students_female,teachers_ft,teachers_pt,total_students,total_teachers,ratio_f2m,ratio_pt2ft,ratio_ft2pt,ratio_t2s,ratio_s2t,ap_parental_eng,dropout_rate,avg_cog,avg_math,avg_read,avg_science,med_cog,med_math,med_read,med_science
0,CZE,20300001,0,1.0,1.0,0.0,0.97,850.0,110.0,85.0,5.0,960.0,90.0,0.1294117647058823,0.0588235294117647,17.0,0.09375,10.666666666666666,0.295,0.04,0.0,7.4411764705882355,52.85294117647059,11.941176470588236,0.0,5.5,47.0,12.5
2,CZE,20300003,0,1.0,1.0,1.0,1.0,235.0,443.0,47.0,15.0,678.0,62.0,1.8851063829787236,0.3191489361702128,3.1333333333333333,0.0914454277286135,10.935483870967742,0.235,0.0,0.0,9.517241379310343,66.06896551724138,21.27586206896552,0.0,7.0,55.0,19.0
6,CZE,20300007,0,1.0,1.0,1.0,1.0,245.0,394.0,52.0,2.0,639.0,54.0,1.6081632653061224,0.0384615384615384,26.0,0.0845070422535211,11.833333333333334,0.405,0.01,0.0,7.357142857142857,42.285714285714285,10.357142857142858,0.0,8.5,43.0,5.5
7,CZE,20300008,1,1.0,1.0,1.0,0.89,33.0,188.0,20.0,11.0,221.0,31.0,5.696969696969697,0.55,1.818181818181818,0.1402714932126696,7.129032258064516,0.1125,0.3,0.0,6.5588235294117645,47.26470588235294,8.735294117647058,0.0,5.0,43.5,7.0
10,CZE,20300011,1,1.0,1.0,1.0,0.99,57.0,107.0,13.0,8.0,164.0,21.0,1.8771929824561404,0.6153846153846154,1.625,0.1280487804878048,7.809523809523809,0.5833333333333334,0.01,0.0,7.555555555555555,64.94444444444444,17.22222222222222,0.0,2.0,43.5,23.0
14,CZE,20300015,0,0.0,1.0,1.0,1.0,422.0,12.0,51.0,2.0,434.0,53.0,0.0284360189573459,0.0392156862745098,25.5,0.1221198156682027,8.18867924528302,0.1325,0.04,0.0,4.6923076923076925,39.0,10.153846153846152,0.0,3.0,35.0,11.0
15,CZE,20300016,1,1.0,1.0,1.0,1.0,81.0,122.0,14.0,12.0,203.0,26.0,1.5061728395061729,0.8571428571428571,1.1666666666666667,0.1280788177339901,7.8076923076923075,0.1075,0.0,0.0,12.166666666666666,83.16666666666667,14.0,0.0,3.0,51.0,7.5
17,CZE,20300018,0,1.0,1.0,0.0,1.0,261.0,232.0,22.0,10.0,493.0,32.0,0.8888888888888888,0.4545454545454545,2.2,0.0649087221095334,15.40625,0.35,0.0,0.0,7.173913043478261,50.30434782608695,11.217391304347826,0.0,0.0,46.0,9.0
18,CZE,20300019,1,1.0,1.0,0.0,0.94,283.0,288.0,27.0,10.0,571.0,37.0,1.017667844522968,0.3703703703703703,2.7,0.0647985989492119,15.432432432432432,0.2275,0.01,0.0,6.310344827586207,47.44827586206897,9.344827586206897,0.0,5.0,50.0,8.0
19,CZE,20300020,0,1.0,1.0,1.0,1.0,875.0,130.0,75.0,5.0,1005.0,80.0,0.1485714285714285,0.0666666666666666,15.0,0.0796019900497512,12.5625,0.3433333333333334,0.03,0.0,7.65625,53.5625,13.28125,0.0,4.0,48.0,11.0
20,CZE,20300021,0,1.0,1.0,0.0,0.25,62.0,79.0,21.0,8.0,141.0,29.0,1.2741935483870968,0.3809523809523809,2.625,0.2056737588652482,4.862068965517241,0.2675,0.01,0.0,8.941176470588236,50.76470588235294,20.58823529411765,0.0,4.0,46.0,13.0
22,CZE,20300023,0,1.0,0.0,1.0,1.0,203.0,341.0,41.0,7.0,544.0,48.0,1.679802955665025,0.1707317073170731,5.857142857142857,0.088235294117647,11.333333333333334,0.12,0.02,0.0,9.172413793103448,70.3103448275862,15.344827586206897,0.0,8.0,49.0,6.0
23,CZE,20300024,1,1.0,0.0,0.0,1.0,122.0,112.0,13.0,3.0,234.0,16.0,0.918032786885246,0.2307692307692307,4.333333333333333,0.0683760683760683,14.625,0.34,0.0,0.0,3.6666666666666665,45.22222222222222,8.444444444444445,0.0,1.5,42.5,7.0
24,CZE,20300025,0,1.0,1.0,1.0,0.99,210.0,379.0,54.0,48.0,589.0,102.0,1.8047619047619048,0.8888888888888888,1.125,0.1731748726655348,5.7745098039215685,0.095,0.01,0.0,6.285714285714286,48.31428571428572,11.314285714285717,0.0,5.0,44.0,9.0
26,CZE,20300027,0,1.0,1.0,0.0,1.0,290.0,239.0,35.0,2.0,529.0,37.0,0.8241379310344827,0.0571428571428571,17.5,0.0699432892249527,14.297297297297296,0.4425,0.01,0.0,12.363636363636363,49.5,12.318181818181818,0.0,1.5,43.0,4.5
28,CZE,20300029,0,1.0,1.0,1.0,0.99,722.0,160.0,102.0,13.0,882.0,115.0,0.2216066481994459,0.1274509803921568,7.846153846153846,0.1303854875283446,7.669565217391304,0.1033333333333333,0.15,0.0,6.0625,46.6875,8.4375,0.0,4.5,45.0,2.5
29,CZE,20300030,0,1.0,1.0,1.0,0.9,114.0,82.0,12.0,6.0,196.0,18.0,0.7192982456140351,0.5,2.0,0.0918367346938775,10.88888888888889,0.18,0.04,0.0,5.1,40.9,12.3,0.0,1.5,41.5,11.0
30,CZE,20300031,0,1.0,1.0,0.0,0.95,246.0,169.0,26.0,1.0,415.0,27.0,0.6869918699186992,0.0384615384615384,26.0,0.0650602409638554,15.37037037037037,0.35,0.0,0.0,8.526315789473685,44.42105263157895,6.7368421052631575,0.0,5.0,41.0,6.0
31,CZE,20300032,0,1.0,1.0,1.0,0.97,432.0,190.0,61.0,3.0,622.0,64.0,0.4398148148148148,0.0491803278688524,20.33333333333333,0.1028938906752411,9.71875,0.3966666666666666,0.13,0.0,6.653846153846154,43.03846153846154,10.384615384615383,0.0,3.0,41.5,7.5
32,CZE,20300033,1,1.0,0.0,1.0,1.0,130.0,205.0,24.0,3.0,335.0,27.0,1.5769230769230769,0.125,8.0,0.0805970149253731,12.407407407407408,0.12,0.03,0.0,9.666666666666666,44.66666666666666,2.333333333333333,0.0,12.0,46.0,0.0
33,CZE,20300034,0,1.0,1.0,1.0,0.96,413.0,40.0,35.0,5.0,453.0,40.0,0.0968523002421307,0.1428571428571428,7.0,0.0883002207505518,11.325,0.25,0.19,0.0,7.3428571428571425,49.22857142857143,9.857142857142858,0.0,6.0,45.0,6.0
34,CZE,20300035,0,1.0,1.0,1.0,0.9,257.0,337.0,41.0,10.0,594.0,51.0,1.311284046692607,0.2439024390243902,4.1,0.0858585858585858,11.647058823529411,0.115,0.01,0.0,8.235294117647058,53.0,13.588235294117649,0.0,6.5,44.0,13.5
